S_name',travel_mode',imp_friends','school_inter','Neigh_play','friend_meet','imp_kids','avg_mvpa','SD_mvpa',per_avg_under60',per_sixty_daily','mvpa_boys','mvpa_girls','0_30','30_40','40_50','50_60','60_70','70_80','80_90','more90','mvpa1','mvpa2','mvpa3','mvpa4','walk1','walk2','walk3','walk4','R_socio','R_sport','R_crime','R_walk','R_fit','R_outplay','R_min_outplay','R_simd','PA_home','PA_sc','PA_road','PA_Pfield','PA_park','PA_PG','PA_amenity','PA_SHOP','PA_F_home','PA_FSA','PA_OD','PA_H_garden','fsa_time','OD_time'
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,72.12194511,16,0.248435243,0.229468599,77.72378651,66.990369,0.000481464,0.014443909,0.072219547,0.161290323,0.219547424,0.239768897,0.152142513,0.140105922,71,69,72,73,52,45,50,45,0.07,0.22,-0.07,0.5,0.7,0.18,0.28,0.2,9,22,16,5.200288878,4.510351468,0.627058257,2.703476168,0.291343284,2.011362542,5,12,0,17,48
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.03626384,17,0.236880115,0.246859903,78.95316888,66.94005865,0,0.009147809,0.064516129,0.163216177,0.221473279,0.219065961,0.168030814,0.154549831,72,67,73,75,53,42,50,45,0.09,0.23,-0.11,0.52,0.68,0.19,0.29,0.21,10,22,16,5.298911892,4.657101589,0.56993741,2.70305248,0.291824747,2.032392874,6,12,0,17,48
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.47194993,17,0.222436206,0.246859903,79.32027237,67.74070543,0,0.009629273,0.055849783,0.15695715,0.224362061,0.243620607,0.149735195,0.159845932,73,69,74,75,54,43,51,45,0.06,0.27,-0.11,0.52,0.68,0.21,0.27,0.19,9,22,17,5.23562831,4.610765527,0.639537795,2.838266731,0.303379875,2.055792008,6,12,0,17,49
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,72.83998074,16,0.234954261,0.254589372,78.4712233,67.30017192,0,0.009629273,0.064516129,0.160808859,0.218103033,0.226287915,0.163697641,0.15695715,71,69,73,75,53,45,49,46,0.1,0.22,-0.1,0.49,0.69,0.17,0.29,0.21,9,22,16,5.235647569,4.5350987,0.591892152,2.89868079,0.300433317,2.046124218,5,12,0,17,49
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.07857487,16,0.220028887,0.251207729,78.81782483,67.33379576,0.000962927,0.007703418,0.051998074,0.159364468,0.237361579,0.223399133,0.169956668,0.149253731,72,68,74,75,52,45,50,45,0.09,0.24,-0.07,0.51,0.67,0.15,0.25,0.19,10,22,16,5.398266731,4.505247954,0.662532499,2.654155031,0.292094367,2.035069812,5,12,0,17,48
Neigh 3/5,usual,0.3,0,0.6,0.4,0.25,73.0072027,16,0.221473278,0.250241546,78.24964593,67.69872093,0,0.012036591,0.061145883,0.148290804,0.229176697,0.226287915,0.169956668,0.153105441,71,70,73,75,53,46,51,46,0.09,0.24,-0.11,0.51,0.69,0.18,0.27,0.22,9,22,17,5.292672123,4.768993741,0.547481945,2.654713529,0.296273471,1.978160809,5,12,0,17,48
School +30,usual,0.3,30,0.2,0.4,0.25,74.39220029,16,0.199325952,0.31352657,81.13800194,67.74313576,0.000481464,0.005777564,0.063553202,0.129513722,0.223880597,0.230621088,0.168030814,0.17814155,74,71,74,74,49,40,45,38,0.01,0.23,-0.03,0.5,0.72,0.13,0.14,0.08,11,29,15,2.982128069,2.994222436,0.342339913,1.977024555,0.369494463,2.140452576,5,7,0,17,30
School +30,usual,0.3,30,0.2,0.4,0.25,74.61519499,16,0.197400097,0.329951691,80.53874286,68.55898734,0,0.007221955,0.048146365,0.142031777,0.220028888,0.223880597,0.181030332,0.177660087,74,71,74,75,47,37,43,38,0.02,0.29,0.01,0.51,0.72,0.08,0.08,0.05,11,30,14,3.089321136,2.894809822,0.286085701,1.914896485,0.370187771,2.152797304,6,7,0,17,29
School +30,usual,0.3,30,0.2,0.4,0.25,74.08581608,16,0.201733269,0.306280193,80.94327485,67.39147479,0,0.007221955,0.048146365,0.146364949,0.232065479,0.229658161,0.173326914,0.163216177,74,72,74,73,49,40,44,38,-0.01,0.26,0.02,0.52,0.69,0.1,0.11,0.04,11,29,15,2.933384689,2.863090997,0.316244584,1.948714492,0.373307655,2.141704381,5,7,0,16,29
School +30,usual,0.3,30,0.2,0.4,0.25,73.95123736,16,0.208955224,0.307729469,79.89901067,68.08875717,0,0.008666346,0.055849783,0.144439095,0.223880597,0.227732306,0.16754935,0.171882523,73,71,74,74,48,38,44,39,0.03,0.25,-0.03,0.51,0.7,0.06,0.14,0.05,11,29,14,2.907443428,2.852633606,0.358401541,2.07986519,0.384015407,2.058180067,5,7,0,17,30
